식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),식품중량
비빔밥,100g,128,2.98,3.98,20.05,0.73,243.0,0.0,0.6,0.03,400g
삼각김밥,100g,165,3.66,1.58,34.11,0.21,343.0,3.51,0.45,0.01,100g
새우튀김롤,100g,202,4.82,6.06,32.09,3.71,464.0,18.62,1.14,0.04,300g
쌀밥,100g,166,3.36,0.32,37.33,0.02,0.0,0.0,0.1,0.0,100g
알밥,100g,124,9.82,4.88,10.21,2.63,1032.0,143.7,0.86,0.04,355g
연어롤,100g,170,6.19,5.13,24.77,2.82,404.0,20.66,0.94,0.03,300g
연잎밥,100g,207,4.0,0.3,47.0,,178.0,,0.0,0.0,100g
오곡밥,100g,156,4.78,0.52,32.93,0.07,46.0,0.0,0.17,0.0,250g
자장밥,100g,148,3.05,4.46,24.01,1.07,312.0,5.29,1.71,0.03,500g
잡탕밥,100g,104,5.88,2.68,13.99,0.06,281.0,43.98,0.54,0.02,750g
주먹밥,100g,208,6.0,4.4,36.2,0.6,331.0,28.3,0.73,0.0,150g
짜장밥,100g,136,6.3,2.8,21.5,,325.0,,0.0,0.0,100g
초밥,100g,151,9.02,1.31,25.85,2.57,270.0,15.58,0.35,0.01,300g
허브차,100ml,0,0.0,,,0.0,0.0,,0.0,,946g
홍차,100ml,0,0.07,,,0.0,1.0,,0.0,,450g
탄산음료,100ml,18,0.0,,,4.79,0.0,,0.0,,355g
코코아,100ml,126,3.08,,,12.62,40.0,,4.31,,325g
콤부차,100ml,32,0.0,,,7.87,2.0,,0.0,,470g
커피,100ml,44,1.52,,,5.26,24.0,,1.1,,946g
에이드,100ml,19,0.03,,,4.79,0.0,,0.01,,355g
아이스티,100ml,61,0.0,,,14.31,9.0,,0.0,,450g
스무디,100ml,120,1.45,,,16.52,37.0,,4.35,,345g
식혜,100ml,48,0.16,0.05,11.69,11.17,,,0.02,,100g
쌍화차,100ml,54,0.08,,,10.53,15.0,,0.0,,360g
콩나물국,100ml,7,0.79,0.22,0.95,0.14,134.0,0.01,0.04,,320ml
감자탕,100ml,67,4.66,3.96,3.37,0.42,145.0,15.6,0.98,,420ml
김치찌개,100ml,41,3.74,1.77,2.6,1.01,266.0,7.48,0.5,,270ml
부대찌개,100ml,68,4.83,2.79,6.12,1.24,368.0,11.14,0.86,,270ml
청국장찌개,100ml,28,2.53,0.68,2.93,0.63,202.0,1.31,0.13,,340ml
콩비지찌개,100ml,41,2.7,1.15,5.17,0.66,238.0,3.47,0.27,,240ml
달걀찜,100ml,69,6.24,3.64,2.21,0.52,252.0,162.13,1.27,,180ml
닭찜,100ml,111,8.97,4.8,7.57,1.29,191.0,33.08,1.28,,370ml
돼지갈비찜,100ml,136,10.49,8.06,4.79,2.29,250.0,39.68,2.18,,340ml
가자미구이,100ml,150,14.69,7.8,3.85,0.03,291.0,63.9,1.22,,190ml
갈치구이,100ml,123,9.35,7.32,3.96,0.0,314.0,34.33,1.59,,170ml
고등어구이,100ml,179,12.71,12.18,3.6,0.0,235.0,36.45,2.81,,130ml
꽁치구이,100ml,196,21.64,10.1,2.81,0.0,279.0,64.8,1.62,,100ml
돼지불고기,100ml,85,8.75,3.5,4.3,2.26,218.0,24.22,1.11,,300ml
삼치구이,100ml,81,9.2,3.81,1.78,0.0,167.0,32.65,0.78,,210ml
된장국,100ml,17,1.33,0.47,2.22,0.85,251.0,0.0,0.08,,260ml
들깨국,100ml,15,0.63,0.76,1.66,0.45,170.0,0.0,0.07,,270ml
무국,100ml,7,0.26,0.17,1.28,0.39,177.0,0.0,0.03,,320ml
미소된장국,100ml,21,1.58,0.83,2.04,0.36,302.0,0.0,0.13,,230ml
미역국,100ml,17,1.45,1.05,0.7,0.02,215.0,3.58,0.29,,320ml
미역냉국,100ml,14,0.6,0.19,3.11,1.99,258.0,0.0,0.04,,200ml
북어국,100ml,15,1.85,0.47,0.99,0.21,130.0,7.95,0.09,,350ml
설렁탕,100ml,37,2.1,1.24,4.08,0.12,133.0,4.93,0.39,,550ml
소고기육개장,100ml,25,1.91,1.41,1.49,0.37,125.0,7.33,0.41,,440ml
어묵국(어묵탕),100ml,21,1.4,0.48,2.92,0.6,220.0,2.05,0.09,,320ml
오이냉국,100ml,17,0.57,0.21,3.59,2.67,226.0,0.0,0.04,,160ml
오징어국,100ml,25,3.71,0.39,1.6,0.49,229.0,39.94,0.09,,300ml
떡국,100ml,43,1.19,0.4,8.78,0.13,168.0,11.06,0.13,,490ml
떡만두국,100ml,69,2.46,1.34,11.89,0.18,194.0,7.67,0.45,,540ml
만두국,100ml,44,2.24,1.48,5.44,0.25,180.0,12.96,0.53,,380ml
스파게티,100ml,108,4.34,1.84,18.58,2.84,137.0,5.01,0.46,,350ml
우동,100ml,61,1.86,0.72,11.22,0.16,246.0,0.73,0.16,,630ml
자장면,100ml,126,4.0,2.05,22.05,1.91,377.0,1.52,0.41,,550ml
잔치국수,100ml,63,1.99,0.55,12.03,0.63,309.0,3.8,0.12,,650ml
쫄면,100ml,121,3.44,0.8,24.73,4.58,601.0,4.41,0.19,,320ml
닭죽,100ml,111,5.56,2.05,16.57,0.76,153.0,15.65,0.55,,250ml
감자국,100ml,21,0.85,0.1,4.59,0.28,213.0,1.91,0.03,,240ml
김치국,100ml,12,0.67,0.15,2.15,0.91,323.0,0.01,0.03,,200ml
달걀국,100ml,19,1.67,0.9,0.87,0.19,205.0,39.49,0.31,,260ml
닭고기육개장,100ml,28,2.64,1.32,1.52,0.4,141.0,10.02,0.33,,440ml
닭곰탕,100ml,48,4.3,1.83,3.32,0.32,238.0,14.99,0.5,,280ml
샐러드,100ml,163,2.76,10.17,15.64,3.12,316.0,16.13,1.64,,80ml
얼갈이겉절이,100ml,27,1.17,0.65,4.71,2.16,340.0,0.55,0.11,,70ml
오이생채,100ml,32,1.32,0.54,6.66,3.75,232.0,0.0,0.09,,60ml
오징어무침,100ml,48,5.91,0.63,4.92,2.42,183.0,65.65,0.14,,190ml
청포묵무침,100ml,53,1.96,2.16,7.48,0.85,271.0,9.48,0.36,,90ml
기장밥,100ml,118,2.25,0.18,25.75,0.02,3.0,0.0,0.05,,370ml
보리밥,100ml,118,2.2,0.18,25.78,0.03,2.0,0.0,0.06,,380ml
수수밥,100ml,120,2.21,0.17,26.3,0.02,3.0,0.0,0.05,,350ml
차조밥,100ml,119,2.19,0.22,25.73,0.03,2.0,0.0,0.06,,370ml
카레라이스,100ml,100,2.64,1.59,18.4,0.94,97.0,2.45,0.48,,600ml
콩나물밥,100ml,110,3.17,0.92,21.8,0.31,115.0,1.04,0.2,,450ml
현미밥,100ml,120,2.15,0.2,26.15,0.02,3.0,0.0,0.06,,370ml
흑미밥,100ml,118,2.12,0.18,25.85,0.03,3.0,0.0,0.05,,390ml
고구마맛탕,100ml,143,0.71,3.53,27.12,8.2,30.0,0.0,0.54,,180ml
숙주나물,100ml,17,1.13,0.96,1.58,0.01,168.0,0.0,0.15,,70ml
숙주미나리나물,100ml,18,1.04,0.99,1.69,0.26,178.0,0.0,0.15,,80ml
시금치나물,100ml,27,1.61,1.28,3.2,0.89,264.0,0.0,0.2,,60ml
참나물,100ml,17,0.76,0.8,2.11,0.19,173.0,0.0,0.12,,80ml
콩나물무침,100ml,19,1.64,0.93,1.95,0.28,149.0,0.0,0.16,,130ml
골뱅이무침,100ml,59,5.54,0.68,8.23,4.92,333.0,17.61,0.1,,120ml
단무지무침,100ml,33,0.82,1.27,4.78,1.79,590.0,0.0,0.21,,40ml
도라지생채,100ml,42,1.32,0.53,9.3,4.1,285.0,0.0,0.09,,70ml
도토리묵무침,100ml,61,1.37,1.24,11.77,1.74,337.0,0.0,0.2,,70ml
돌나물,100ml,42,0.96,0.92,8.47,4.13,193.0,0.0,0.14,,60ml
무말랭이무침,100ml,61,2.0,0.69,12.3,4.15,277.0,0.0,0.12,,80ml
무생채,100ml,42,1.18,0.84,8.18,4.49,322.0,0.0,0.13,,50ml
배추겉절이,100ml,40,1.95,0.95,7.13,3.95,633.0,1.23,0.15,,50ml
부추무침,100ml,24,1.02,0.83,3.73,1.86,203.0,0.0,0.14,,70ml
상추겉절이,100ml,24,1.06,0.76,3.92,1.89,168.0,0.0,0.12,,80ml
떡볶이,100ml,161,3.94,1.25,34.59,4.84,456.0,2.51,0.27,,150ml
미역줄기볶음,100ml,35,0.72,2.74,3.27,0.58,1287.0,0.0,0.39,,70ml
소시지볶음,100ml,134,6.8,8.34,7.71,2.5,425.0,27.26,2.62,,170ml
순대볶음,100ml,100,3.31,4.43,12.34,2.6,270.0,2.47,1.66,,220ml
어묵볶음,100ml,78,3.97,2.76,9.78,2.58,343.0,6.05,0.46,,150ml
오징어볶음,100ml,77,8.2,1.29,8.19,2.53,264.0,90.13,0.26,,250ml
오징어채볶음,100ml,54,6.23,1.6,3.43,1.5,164.0,26.61,0.25,,150ml
잔멸치볶음,100ml,147,9.77,8.68,8.17,2.93,521.0,73.6,1.13,,50ml
잡채,100ml,109,3.16,2.5,18.82,2.42,261.0,5.79,0.46,,140ml
고등어조림,100ml,82,6.97,3.53,5.61,2.26,330.0,17.94,0.9,,150ml
꽁치조림,100ml,81,7.25,3.25,5.52,2.14,396.0,28.92,0.67,,160ml
닭도리탕,100ml,116,9.5,4.83,8.71,3.03,299.0,33.31,1.29,,210ml
닭조림,100ml,121,10.53,4.92,8.29,2.44,220.0,37.19,1.32,,220ml
두부조림,100ml,138,10.51,6.73,8.66,1.73,353.0,0.0,1.01,,90ml
연근조림,100ml,185,5.0,6.46,28.37,7.1,528.0,0.0,1.04,,40ml
우엉조림,100ml,120,3.76,4.88,16.45,4.62,314.0,0.0,0.82,,50ml
장조림,100ml,141,15.38,5.93,5.53,2.09,295.0,131.92,2.02,,150ml
코다리조림,100ml,73,9.34,1.26,6.05,2.42,319.0,28.75,0.19,,110ml
스크램블드에그,100ml,88,6.24,5.46,2.77,0.7,182.0,138.5,1.5,,140ml
햄전,100ml,241,19.54,13.5,8.44,1.26,731.0,112.85,3.51,,70ml
호박전,100ml,126,3.5,6.98,12.12,1.94,155.0,45.18,1.25,,60ml
감자볶음,100ml,53,1.86,2.49,5.91,0.43,139.0,4.14,0.62,,180ml
고추잡채,100ml,91,9.69,3.47,5.09,2.08,268.0,26.27,0.93,,170ml
김치볶음,100ml,54,1.39,3.0,5.51,2.94,457.0,0.0,0.44,,80ml
느타리버섯볶음,100ml,37,1.62,2.41,4.15,1.34,184.0,0.0,0.35,,70ml
닭볶음(닭갈비),100ml,131,11.24,3.98,12.54,3.59,273.0,36.36,1.1,,220ml
돼지고기볶음,100ml,94,9.13,4.38,4.14,2.11,263.0,25.65,1.45,,200ml
돼지고기찜,100ml,109,10.82,3.25,8.89,2.09,220.0,31.97,1.13,,250ml
감자구이,100ml,81,1.5,2.91,12.44,1.45,227.0,5.12,1.32,,130ml
닭구이,100ml,110,10.59,5.71,3.31,1.22,243.0,39.43,1.49,,230ml
닭날개구이,100ml,121,11.12,6.51,3.77,1.49,250.0,53.88,1.89,,160ml
닭다리구이,100ml,88,8.72,4.72,2.18,0.93,175.0,38.52,1.42,,330ml
소불고기,100ml,86,8.68,3.76,4.38,1.86,155.0,22.74,1.44,,270ml
오리불고기,100ml,81,9.62,1.54,7.36,2.63,196.0,41.21,0.54,,260ml
김치전,100ml,68,2.9,2.62,7.52,0.69,178.0,23.38,0.43,,240ml
달걀말이,100ml,167,11.03,11.17,4.09,1.01,327.0,285.56,2.92,,80ml
달걀부침(달걀후라이),100ml,178,10.97,12.76,3.05,0.19,218.0,289.87,3.18,,60ml
부추전,100ml,215,9.42,7.58,25.53,1.86,374.0,67.9,1.23,,70ml
유부국,100ml,17,1.08,1.02,1.13,0.2,162.0,0.0,0.16,,190ml
고추장찌개,100ml,49,3.19,1.27,6.96,1.55,227.0,2.68,0.28,,170ml
꽃게탕,100ml,23,2.8,0.41,2.25,0.79,223.0,8.41,0.08,,230ml
추어탕,100ml,26,2.65,0.77,2.36,0.51,238.0,18.07,0.12,,180ml
김치찜,100ml,77,7.11,4.05,2.63,1.24,201.0,23.87,1.2,,300ml
삼계탕,100ml,80,7.32,3.85,3.54,0.29,102.0,29.45,1.13,,400ml
율무밥,100ml,118,2.23,0.17,25.56,0.01,2.0,0.0,0.05,,270ml
오이지무침,100ml,23,0.59,1.02,3.21,1.53,715.0,0.0,0.15,,50ml
돼지고기덮밥,100ml,165,7.92,2.72,26.17,1.91,143.0,22.86,0.85,,330ml
볶음밥,100ml,113,4.05,1.83,19.46,1.02,165.0,10.67,0.47,,400ml
열무나물,100ml,36,2.18,1.76,3.65,0.86,294.0,0.0,0.27,,40ml
취나물,100ml,25,0.97,1.15,3.42,0.56,96.0,0.0,0.16,,80ml
갑오징어무침,100ml,50,5.31,0.74,5.89,3.06,225.0,94.82,0.12,,100ml
과일샐러드,100ml,65,0.53,3.8,7.84,5.92,24.0,1.41,0.6,,110ml
김무침,100ml,86,7.12,6.46,8.54,1.51,329.0,0.0,0.77,,20ml
느타리버섯무침,100ml,39,2.16,1.52,6.75,2.6,297.0,0.0,0.22,,40ml
고구마튀김,100ml,233,1.48,10.9,31.33,5.96,124.0,4.58,1.7,,80ml
동태까스,100ml,273,11.6,15.64,19.42,2.61,385.0,53.42,2.52,,90ml
가지나물,100ml,34,1.24,1.54,4.34,1.89,227.0,0.0,0.24,,40ml
깻잎나물,100ml,33,2.12,1.33,4.36,0.04,224.0,0.0,0.2,,50ml
배추나물,100ml,31,1.67,1.28,3.68,1.08,323.0,0.0,0.2,,50ml
파전,100ml,195,10.67,7.77,18.92,1.24,267.0,92.27,1.38,,60ml
고추장볶음,100ml,235,8.96,4.85,43.37,19.22,1562.0,17.21,1.38,,20ml
낙지볶음,100ml,67,5.42,1.59,8.11,2.6,265.0,35.16,0.29,,140ml
마늘쫑볶음,100ml,64,3.16,2.97,6.55,2.6,285.0,15.76,0.5,,60ml
소고기볶음,100ml,72,6.2,3.53,3.97,1.25,127.0,16.91,1.31,,180ml
돼지갈비구이,100ml,128,9.02,7.88,4.62,2.65,221.0,35.8,2.19,,150ml
순두부찌개,100ml,29,3.55,1.02,1.55,0.67,150.0,6.2,0.24,,190ml
깻잎찜,100ml,60,2.98,1.87,9.07,2.26,462.0,0.0,0.29,,30ml
영양돌솥밥,100ml,111,2.35,0.31,23.8,0.66,80.0,0.0,0.07,,220ml
호박죽,100ml,71,1.39,0.28,16.08,5.61,140.0,0.0,0.06,,150ml
갈비탕,100ml,39,2.19,2.13,2.71,0.26,109.0,9.9,0.76,,260ml
마늘장아찌무침,100ml,99,1.88,0.7,21.85,11.66,805.0,0.0,0.12,,40ml
모자반무침,100ml,19,1.29,0.4,4.36,1.3,186.0,0.01,0.07,,100ml
북어채무침,100ml,149,23.17,2.65,7.22,2.24,293.0,90.7,0.44,,90ml
톳나물초무침,100ml,19,1.11,0.37,4.78,1.61,93.0,0.01,0.06,,120ml
파래무침,100ml,43,3.82,1.11,9.24,0.99,251.0,0.01,0.17,,30ml
풋마늘무침,100ml,38,1.31,0.82,8.05,3.77,155.0,0.01,0.14,,70ml
곤드레밥,100ml,87,2.09,0.97,17.09,0.18,118.0,1.22,0.18,,300ml
깐쇼새우,100ml,150,7.9,6.28,14.7,5.31,266.0,65.29,1.25,,330ml
생선까스,100ml,232,7.58,18.96,7.25,0.54,201.0,40.24,2.79,,220ml
냉이나물,100ml,33,2.4,0.86,5.44,1.18,182.0,0.01,0.14,,75ml
시래기나물,100ml,30,0.93,1.92,2.65,0.08,197.0,0.01,0.24,,75ml
유채나물,100ml,22,2.1,0.89,2.4,0.31,154.0,0.01,0.14,,70ml
청경채나물,100ml,14,1.06,0.58,1.59,0.23,156.0,0.02,0.09,,100ml
톳나물,100ml,30,2.67,1.6,2.55,0.18,156.0,0.0,0.24,,140ml
간재미회무침,100ml,47,4.73,0.47,6.47,3.57,164.0,16.06,0.09,,270ml
개고기무침,100ml,121,7.63,8.82,3.76,0.9,111.0,13.49,1.64,,620ml
곤약무침,100ml,83,0.7,7.7,3.62,1.12,119.0,2.79,1.15,,75ml
더덕무침,100ml,65,1.29,0.65,14.72,4.26,148.0,0.02,0.11,,70ml
주꾸미볶음,100ml,74,6.94,1.91,7.99,3.13,142.0,150.16,0.31,,315ml
중식잡채,100ml,83,2.3,2.24,13.58,1.13,112.0,5.34,0.54,,450ml
쫄볶이,100ml,150,4.7,1.41,29.37,3.97,652.0,10.84,0.58,,630ml
파래볶음,100ml,53,3.28,2.88,8.21,1.98,197.0,0.0,0.43,,70ml
표고버섯볶음,100ml,19,1.11,1.0,3.47,0.4,102.0,0.0,0.13,,90ml
호박볶음,100ml,27,0.84,1.32,3.53,1.62,234.0,1.31,0.19,,70ml
가자미조림,100ml,62,7.9,1.37,4.41,1.51,241.0,32.1,0.24,,280ml
갈치조림,100ml,65,6.31,2.4,4.44,1.78,232.0,21.47,0.67,,400ml
감자조림,100ml,66,1.58,0.85,13.29,1.89,242.0,0.0,0.14,,80ml
고추조림,100ml,57,7.08,1.21,4.69,1.24,464.0,63.41,0.24,,80ml
달걀조림,100ml,109,9.01,4.79,6.53,1.5,498.0,190.34,1.63,,80ml
버섯조림,100ml,33,2.04,0.74,6.83,1.55,260.0,0.45,0.13,,60ml
두부김치,100ml,84,6.76,4.44,4.06,1.34,203.0,8.47,1.07,,430ml
멸치볶음,100ml,79,8.03,2.74,5.59,1.46,468.0,72.49,0.46,,90ml
멸치볶음(멸치만),100ml,114,14.9,3.41,5.15,1.72,770.0,147.45,0.62,,80ml
새송이버섯볶음,100ml,25,1.52,1.61,3.46,0.28,163.0,0.0,0.22,,55ml
오리볶음,100ml,171,10.47,11.27,7.3,2.65,254.0,52.0,3.59,,420ml
유산슬,100ml,71,9.09,1.96,4.84,0.59,461.0,44.66,0.4,,410ml
채소전,100ml,154,3.38,5.63,21.39,1.21,174.0,9.58,0.91,,110ml
파래전,100ml,197,4.74,5.03,31.77,0.83,283.0,12.99,0.84,,40ml
가지볶음,100ml,35,0.9,2.17,3.36,1.55,207.0,0.01,0.33,,60ml
건새우볶음,100ml,120,15.53,3.87,4.96,1.35,1065.0,99.51,0.64,,60ml
건표고버섯볶음,100ml,37,2.03,1.99,7.51,0.66,146.0,0.01,0.23,,80ml
닭모래집볶음,100ml,72,8.19,2.28,3.82,1.35,159.0,84.28,0.57,,200ml
오리고기로스,100ml,174,11.76,13.5,0.5,0.28,161.0,64.01,4.34,,330ml
옥돔구이,100ml,39,4.91,1.92,0.11,0.0,33.0,23.02,0.34,,230ml
옥수수구이,100ml,148,1.43,9.01,15.41,4.0,173.0,3.84,1.55,,90ml
장어구이,100ml,134,10.05,8.25,4.82,1.88,207.0,113.37,2.22,,190ml
전어구이,100ml,33,5.86,0.82,0.06,0.0,193.0,21.38,0.25,,360ml
황태구이,100ml,144,20.64,3.78,5.91,2.33,304.0,50.61,0.58,,170ml
감자전,100ml,93,1.98,3.24,13.75,0.38,69.0,4.03,0.52,,150ml
굴전,100ml,123,6.25,6.27,9.54,0.74,58.0,56.82,1.12,,200ml
녹두빈대떡,100ml,175,9.41,5.64,21.4,0.29,109.0,4.57,1.15,,210ml
동태전,100ml,109,9.74,4.99,5.08,0.11,264.0,76.09,0.93,,190ml
새송이버섯전,100ml,63,3.16,3.73,5.89,0.17,93.0,41.21,0.74,,95ml
어육소시지전,100ml,177,8.23,10.14,12.73,2.04,441.0,72.72,2.82,,80ml
장떡,100ml,197,3.67,7.64,27.28,2.26,267.0,0.0,1.16,,70ml
복찜,100ml,36,3.55,0.92,4.11,0.87,137.0,5.81,0.16,,510ml
소갈비찜,100ml,111,5.38,7.08,6.45,2.92,291.0,16.23,2.46,,750ml
해물콩나물찜,100ml,51,7.04,1.11,3.83,0.74,139.0,40.05,0.2,,850ml
홍어찜,100ml,41,7.2,0.54,1.49,0.29,267.0,29.91,0.09,,250ml
황태콩나물찜,100ml,82,10.17,1.99,6.92,1.74,244.0,19.43,0.35,,650ml
굴비구이,100ml,122,11.83,7.4,0.98,0.0,109.0,39.75,1.52,,75ml
더덕구이,100ml,108,1.86,2.14,22.34,6.76,333.0,0.0,0.27,,180ml
소내장구이,100ml,92,6.75,6.53,0.75,0.1,57.0,120.37,1.83,,260ml
버섯전골,100ml,59,4.11,3.02,4.69,1.01,144.0,10.29,1.13,,400ml
불낙전골,100ml,69,7.0,2.67,4.58,1.15,250.0,13.06,0.95,,400ml
소고기샤브샤브,100ml,46,2.95,2.04,4.08,0.4,114.0,8.24,0.78,,930ml
순대전골,100ml,76,5.61,3.18,6.28,0.68,160.0,17.49,1.22,,450ml
아귀지리,100ml,21,3.97,0.13,0.89,0.2,87.0,14.01,0.02,,540ml
알탕,100ml,46,6.82,1.03,2.29,0.55,156.0,96.76,0.15,,940ml
오리백숙,100ml,124,7.36,7.72,5.57,0.54,68.0,36.99,2.51,,810ml
오리탕,100ml,104,6.68,6.98,3.71,0.94,137.0,31.11,2.16,,840ml
가오리콩나물찜,100ml,29,2.68,0.84,3.5,0.69,111.0,4.13,0.15,,600ml
꼬막찜,100ml,30,4.01,0.54,2.19,0.62,193.0,5.68,0.09,,100ml
꽃게콩나물찜,100ml,52,5.86,1.34,5.1,0.91,209.0,12.62,0.21,,800ml
꽈리고추찜,100ml,41,1.48,0.76,7.51,0.92,155.0,0.01,0.13,,100ml
낙지찜,100ml,74,5.47,4.31,3.81,0.89,217.0,35.53,0.67,,600ml
단호박찜,100ml,41,0.93,0.16,10.04,3.63,2.0,0.0,0.03,,90ml
대구볼찜,100ml,45,4.23,1.23,5.37,1.09,143.0,12.08,0.21,,640ml
닭백숙,100ml,56,4.23,2.11,4.49,0.37,49.0,14.75,0.57,,610ml
갈치찌개,100ml,45,4.12,1.57,2.96,0.86,136.0,13.82,0.44,,390ml
개고기전골,100ml,74,5.56,5.03,2.35,0.53,109.0,8.91,1.02,,630ml
곱창전골,100ml,47,3.57,2.61,2.66,0.77,111.0,42.7,0.71,,570ml
낙지전골,100ml,35,4.19,0.6,3.56,0.96,198.0,4.49,0.14,,430ml
내장전골,100ml,58,5.41,2.88,2.89,0.72,128.0,51.72,0.84,,470ml
동태찌개,100ml,25,3.25,0.51,2.05,0.6,177.0,7.81,0.08,,610ml
